srcport,dstport,protocol,packets,bytes,duration,anomaly
38779,443,17,340,379780,72,0
12284,53,17,51,9027,90,0
12115,53,17,18,26100,65,0
30402,53,17,151,217893,102,0
17080,443,17,32,6976,58,0
44598,53,17,219,203889,105,0
16317,443,17,3,2160,47,0
52327,3389,17,186,210366,53,0
60521,80,6,317,459333,47,0
53942,3389,17,136,139128,109,0
46766,80,17,478,421596,76,0
23601,53,6,437,195339,109,0
56876,53,6,170,83300,111,0
30442,80,6,25,28675,66,0
11995,53,17,70,24570,36,0
19866,3389,17,344,430688,52,0
18058,53,6,251,114707,118,0
41086,22,17,138,125166,120,0
19441,53,6,152,33136,100,0
19725,443,6,494,483626,117,0
53034,22,6,239,224899,99,0
51479,443,17,260,130520,113,0
14215,53,17,78,35802,51,0
37106,53,17,155,80445,116,0
17754,53,17,66,41778,55,0
29896,53,6,264,365376,60,0
64358,443,6,172,42484,58,0
44963,53,6,153,23868,80,0
41198,53,6,280,294840,98,0
35375,80,17,159,150096,92,0
48991,443,6,461,690117,119,1
5575,443,6,142,151656,117,0
34474,3389,17,173,155181,66,0
6548,3389,17,422,457026,60,0
27333,22,17,74,95608,68,0
60082,443,17,107,82925,68,0
27835,53,17,56,77056,46,0
51899,80,17,163,148656,112,0
10321,3389,6,398,130942,65,0
32201,22,6,354,408516,71,0
42314,22,6,10,5810,66,0
27315,80,17,32,25088,103,0
11810,80,6,254,379476,72,0
64547,443,17,319,355047,79,0
62532,3389,17,462,437976,35,1
9297,443,6,96,87744,43,0
65128,53,17,319,228723,73,0
8981,22,17,24,32616,87,0
63867,53,17,199,20696,76,0
15635,53,6,72,36288,100,0
31070,22,6,164,66256,86,0
52006,80,17,413,435302,78,0
51340,443,17,70,33670,67,0
12231,80,6,311,270881,103,0
6143,80,6,232,316216,99,0
48792,53,6,38,27778,40,0
31389,80,6,446,21854,51,0
64125,80,17,144,107424,44,0
3870,22,6,53,43513,54,0
34287,22,6,232,55680,65,0
13960,443,6,29,25143,105,0
50424,80,6,167,135604,63,0
21658,80,6,375,358875,102,0
58364,443,17,17,1411,71,0
49560,80,6,296,288008,45,0
61710,22,6,496,327360,114,0
23064,80,6,101,9393,80,0
12794,443,17,478,614708,41,1
15684,80,6,26,14456,109,0
45185,80,17,309,391812,33,0
59395,53,17,230,282210,111,0
28204,53,17,218,37714,33,0
23825,53,6,109,71286,95,0
57087,3389,6,181,125976,36,0
23744,80,17,177,81420,49,0
60680,443,6,157,197349,52,0
56845,443,17,337,191753,78,0
21909,53,17,196,281652,81,0
14042,443,17,165,212025,52,0
60929,22,17,299,128570,54,0
10904,22,6,355,471085,89,0
1046,80,6,45,64575,109,0
34923,3389,17,6,3558,65,0
45195,80,6,196,176204,57,0
10804,3389,17,437,194028,64,0
15561,53,17,39,49101,95,0
20056,80,6,14,3864,93,0
2926,3389,17,422,443100,105,1
12241,443,6,267,230688,83,0
27163,80,17,239,168495,71,0
8698,80,17,250,242750,89,0
19138,443,6,479,653356,70,1
63070,3389,17,243,244944,97,0
60681,80,6,186,171492,82,0
49083,53,6,255,85425,108,0
18725,80,17,389,280858,98,0
63780,22,6,303,396627,50,0
58816,22,6,336,428064,55,0
64603,53,17,90,59310,72,0
65349,443,6,482,542732,101,1
32813,80,6,102,109038,84,0
4033,22,6,178,164116,67,0
45957,443,17,228,260832,54,0
37290,80,6,299,285545,59,0
22369,22,6,342,411084,117,0
38075,53,6,152,178600,33,0
37361,53,17,221,222326,95,0
53622,443,17,103,26265,107,0
50718,80,6,57,27588,48,0
59090,22,6,218,179196,37,0
40343,53,17,391,263143,85,0
32100,3389,6,298,102810,49,0
21100,22,17,353,138023,57,0
64789,443,17,106,52258,79,0
44060,80,17,425,419050,64,0
58621,22,6,327,274026,50,0
62190,22,17,48,42624,47,0
31341,53,6,490,235200,88,0
62432,3389,17,201,100098,109,0
8607,3389,17,388,433784,92,1
30902,3389,6,219,201480,59,0
49847,22,17,244,283528,39,0
31045,22,17,360,325800,99,0
28705,22,6,237,107124,70,0
51097,22,17,267,255786,120,0
62586,80,6,470,488330,39,0
43617,22,17,21,12411,36,0
48920,53,17,31,3844,38,0
64919,443,6,113,128594,31,0
13079,443,6,365,188705,105,0
8447,443,17,69,99291,86,0
12834,80,17,150,10950,63,0
2256,80,6,334,494320,113,0
53098,3389,17,381,261366,93,0
47577,443,6,147,122745,67,0
40190,53,17,332,84992,64,0
55007,443,17,219,302220,106,0
20338,53,17,229,329302,89,0
30161,80,6,59,66729,37,0
1230,53,17,449,544637,94,0
1442,80,17,202,55550,93,0
17576,53,17,387,357201,99,0
21053,3389,6,373,178667,100,0
18917,53,17,183,142191,82,0
37805,22,6,36,38664,82,0
39812,3389,6,244,154452,43,0
48704,80,17,448,74368,91,0
13154,80,17,61,11285,38,0
15197,22,17,20,3060,89,0
12187,53,17,354,61242,58,0
53667,22,6,493,502367,103,0
38157,53,17,144,152208,113,0
39395,22,17,255,231285,88,0
43504,80,6,87,43935,42,0
10439,80,6,483,554001,105,0
27152,443,6,139,88265,88,0
50091,22,6,486,134136,55,0
43348,53,17,311,119735,51,0
33742,53,6,99,12375,108,0
26456,80,6,303,153015,76,0
64850,53,6,137,165496,66,0
9478,53,17,163,70090,60,0
27005,443,6,414,494730,111,0
58496,3389,17,404,498132,50,1
55545,443,6,294,388962,45,0
4079,53,6,498,136452,34,0
26683,3389,17,365,506620,70,0
24668,443,6,83,8632,52,0
60257,3389,17,127,151511,78,0
11367,53,17,141,106596,31,0
61214,443,6,369,160515,94,0
