srcport,dstport,protocol,packets,bytes,duration
38779,443,17,340,379780,72
12284,53,17,51,9027,90
12115,53,17,18,26100,65
30402,53,17,151,217893,102
17080,443,17,32,6976,58
44598,53,17,219,203889,105
16317,443,17,3,2160,47
52327,3389,17,186,210366,53
60521,80,6,317,459333,47
53942,3389,17,136,139128,109
46766,80,17,478,421596,76
23601,53,6,437,195339,109
56876,53,6,170,83300,111
30442,80,6,25,28675,66
11995,53,17,70,24570,36
19866,3389,17,344,430688,52
18058,53,6,251,114707,118
41086,22,17,138,125166,120
19441,53,6,152,33136,100
19725,443,6,494,483626,117
53034,22,6,239,224899,99
51479,443,17,260,130520,113
14215,53,17,78,35802,51
37106,53,17,155,80445,116
17754,53,17,66,41778,55
29896,53,6,264,365376,60
64358,443,6,172,42484,58
44963,53,6,153,23868,80
41198,53,6,280,294840,98
35375,80,17,159,150096,92
48991,443,6,461,690117,119
5575,443,6,142,151656,117
34474,3389,17,173,155181,66
6548,3389,17,422,457026,60
27333,22,17,74,95608,68
60082,443,17,107,82925,68
27835,53,17,56,77056,46
51899,80,17,163,148656,112
10321,3389,6,398,130942,65
32201,22,6,354,408516,71
42314,22,6,10,5810,66
27315,80,17,32,25088,103
11810,80,6,254,379476,72
64547,443,17,319,355047,79
62532,3389,17,462,437976,35
9297,443,6,96,87744,43
65128,53,17,319,228723,73
8981,22,17,24,32616,87
63867,53,17,199,20696,76
15635,53,6,72,36288,100
31070,22,6,164,66256,86
52006,80,17,413,435302,78
51340,443,17,70,33670,67
12231,80,6,311,270881,103
6143,80,6,232,316216,99
48792,53,6,38,27778,40
31389,80,6,446,21854,51
64125,80,17,144,107424,44
3870,22,6,53,43513,54
34287,22,6,232,55680,65
13960,443,6,29,25143,105
50424,80,6,167,135604,63
21658,80,6,375,358875,102
58364,443,17,17,1411,71
49560,80,6,296,288008,45
61710,22,6,496,327360,114
23064,80,6,101,9393,80
12794,443,17,478,614708,41
15684,80,6,26,14456,109
45185,80,17,309,391812,33
59395,53,17,230,282210,111
28204,53,17,218,37714,33
23825,53,6,109,71286,95
57087,3389,6,181,125976,36
23744,80,17,177,81420,49
60680,443,6,157,197349,52
56845,443,17,337,191753,78
21909,53,17,196,281652,81
14042,443,17,165,212025,52
60929,22,17,299,128570,54
10904,22,6,355,471085,89
1046,80,6,45,64575,109
34923,3389,17,6,3558,65
45195,80,6,196,176204,57
10804,3389,17,437,194028,64
15561,53,17,39,49101,95
20056,80,6,14,3864,93
2926,3389,17,422,443100,105
12241,443,6,267,230688,83
27163,80,17,239,168495,71
8698,80,17,250,242750,89
19138,443,6,479,653356,70
63070,3389,17,243,244944,97
60681,80,6,186,171492,82
49083,53,6,255,85425,108
18725,80,17,389,280858,98
63780,22,6,303,396627,50
58816,22,6,336,428064,55
64603,53,17,90,59310,72
65349,443,6,482,542732,101
32813,80,6,102,109038,84
4033,22,6,178,164116,67
45957,443,17,228,260832,54
37290,80,6,299,285545,59
22369,22,6,342,411084,117
38075,53,6,152,178600,33
37361,53,17,221,222326,95
53622,443,17,103,26265,107
50718,80,6,57,27588,48
59090,22,6,218,179196,37
40343,53,17,391,263143,85
32100,3389,6,298,102810,49
21100,22,17,353,138023,57
64789,443,17,106,52258,79
44060,80,17,425,419050,64
58621,22,6,327,274026,50
62190,22,17,48,42624,47
31341,53,6,490,235200,88
62432,3389,17,201,100098,109
8607,3389,17,388,433784,92
30902,3389,6,219,201480,59
49847,22,17,244,283528,39
31045,22,17,360,325800,99
28705,22,6,237,107124,70
51097,22,17,267,255786,120
62586,80,6,470,488330,39
43617,22,17,21,12411,36
48920,53,17,31,3844,38
64919,443,6,113,128594,31
13079,443,6,365,188705,105
8447,443,17,69,99291,86
12834,80,17,150,10950,63
2256,80,6,334,494320,113
53098,3389,17,381,261366,93
47577,443,6,147,122745,67
40190,53,17,332,84992,64
55007,443,17,219,302220,106
20338,53,17,229,329302,89
30161,80,6,59,66729,37
1230,53,17,449,544637,94
1442,80,17,202,55550,93
17576,53,17,387,357201,99
21053,3389,6,373,178667,100
18917,53,17,183,142191,82
37805,22,6,36,38664,82
39812,3389,6,244,154452,43
48704,80,17,448,74368,91
13154,80,17,61,11285,38
15197,22,17,20,3060,89
12187,53,17,354,61242,58
53667,22,6,493,502367,103
38157,53,17,144,152208,113
39395,22,17,255,231285,88
43504,80,6,87,43935,42
10439,80,6,483,554001,105
27152,443,6,139,88265,88
50091,22,6,486,134136,55
43348,53,17,311,119735,51
33742,53,6,99,12375,108
26456,80,6,303,153015,76
64850,53,6,137,165496,66
9478,53,17,163,70090,60
